utterance,intent,word_count,language,framework,error_type,language.1,framework.1,error_type.1,language.2,framework.2,error_type.2,language.3,framework.3,error_type.3,language.4,framework.4,error_type.4,processed,label
express auth issue,debug,3,,express,,,express,,,express,,,express,,,express,,express auth issue,0
django login fails,debug,3,,django,,,django,,,django,,,django,,,django,,django login fails,0
i am getting a 403 error in my express app,debug,10,,express,403,,express,403,,express,403,,express,403,,express,403,get 403 error express app,0
can you help me fix the authentication module in django,debug,10,,django,,,django,,,django,,,django,,,django,,help fix authentication module django,0
i dont know why my kotlin app is throwing a 403,debug,11,kotlin,,403,kotlin,,403,kotlin,,403,kotlin,,403,kotlin,,403,dont know why kotlin app throw 403,0
uh my login service is not working with postgres,debug,9,,,,,,,,,,,,,,,,login service not work postgres,0
i need to debug the authentication in my express application,debug,10,,express,,,express,,,express,,,express,,,express,,need debug authentication express application,0
every time i try to log in i get a 403 error in my django app,debug,16,,django,403,,django,403,,django,403,,django,403,,django,403,every time try log get 403 error django app,0
so i am trying to authenticate a user in my kotlin app but it keeps failing,debug,16,kotlin,,,kotlin,,,kotlin,,,kotlin,,,kotlin,,,try authenticate user kotlin app keep fail,0
um so every time i try to log in the service throws a 403 and i have no clue why,debug,20,,,403,,,403,,,403,,,403,,,403,every time try log service throw 403 no clue why,0
i am trying to figure out why my auth module is not working with postgres in my express app,debug,19,,express,,,express,,,express,,,express,,,express,,try figure why auth module not work postgres express app,0
ok so like i am trying to make this authentication thing work and its just not happening you know,debug,19,,,,,,,,,,,,,,,,ok try make authentication thing work not happen,0
i dont know whats going on but like my auth service is just not working and i have tried everything,debug,20,,,,,,,,,,,,,,,,dont know whats go auth service not work try everything,0
debug the memory leak in the payment processor,debug,8,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,debug memory leak payment processor,0
fix memory leak,debug,3,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,fix memory leak,0
debug payment processor,debug,3,,,,,,,,,,,,,,,,debug payment processor,0
kafka memory issue,debug,3,,,,,,,,,,,,,,,,kafka memory issue,0
i need to debug the memory leak in our payment processor,debug,11,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,need debug memory leak payment processor,0
can you help me figure out this memory leak in the postgres database,debug,13,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,help figure memory leak postgres database,0
i think there is a memory leak in the go payment processor,debug,12,go,,memory leak,go,,memory leak,go,,memory leak,go,,memory leak,go,,memory leak,think memory leak go payment processor,0
so i am trying to debug this memory leak and its driving me crazy,debug,14,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,try debug memory leak drive crazy,0
debugging the memory leak in the payment processor is my top priority,debug,12,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,debug memory leak payment processor top priority,0
i am getting a memory leak in the payment processor and i dont know why,debug,15,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,get memory leak payment processor dont know why,0
the payment processor has a memory leak and its causing issues with kafka,debug,13,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,payment processor memory leak cause issue kafka,0
i have been trying to debug the memory leak in the payment processor for hours,debug,15,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,try debug memory leak payment processor hour,0
um so the payment processor is leaking memory and i dont know how to fix it,debug,16,,,,,,,,,,,,,,,,payment processor leak memory dont know how fix,0
ok so i am looking at the payment processor and its got a memory leak somewhere,debug,16,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,ok look payment processor get memory leak somewhere,0
so the payment processor is leaking memory and its gonna crash the whole system if i dont debug it,debug,19,,,,,,,,,,,,,,,,payment processor leak memory gon na crash whole system dont debug,0
the api is returning 500 on every post request,debug,9,,,500,,,500,,,500,,,500,,,500,api return 500 every post request,0
api keeps returning 500,debug,4,,,500,,,500,,,500,,,500,,,500,api keep return 500,0
post request always fails,debug,4,,,,,,,,,,,,,,,,post request always fail,0
debug this 500 error,debug,4,,,500,,,500,,,500,,,500,,,500,debug 500 error,0
i cant figure out why my api is returning 500 on every post request,debug,14,,,500,,,500,,,500,,,500,,,500,cant figure why api return 500 every post request,0
getting 500 on every post request to the api,debug,9,,,500,,,500,,,500,,,500,,,500,get 500 every post request api,0
every post request to the api is returning a 500 error,debug,11,,,500,,,500,,,500,,,500,,,500,every post request api return 500 error,0
having trouble with api post requests always returning 500,debug,9,,,500,,,500,,,500,,,500,,,500,trouble api post request always return 500,0
stuck on this api post request 500 error thing,debug,9,,,500,,,500,,,500,,,500,,,500,stuck api post request 500 error thing,0
i have an api that keeps returning 500 on all post requests and i dont know why,debug,17,,,500,,,500,,,500,,,500,,,500,api keep return 500 post request dont know why,0
trying to debug this api that always returns 500 on post requests and its really frustrating,debug,16,,,500,,,500,,,500,,,500,,,500,try debug api always return 500 post request really frustrate,0
so the api is returning 500 on every single post request and i have no idea what to do,debug,19,,,500,,,500,,,500,,,500,,,500,api return 500 every single post request no idea what,0
um so i think i have an infinite loop in my typescript api or something,debug,15,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,think infinite loop typescript api something,0
okay so like my python script is making a post request to this api and its always returning 404 which is weird,debug,22,python,,404,python,,404,python,,404,python,,404,python,,404,python script make post request api always return 404 weird,0
i dont know man i just started getting this 500 error on every post request and i was working on this other thing with python and then this happened,debug,29,python,,500,python,,500,python,,500,python,,500,python,,500,dont know man start get 500 error every post request work thing python happen,0
find the bug causing infinite loop in data pipeline,debug,9,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,find bug cause infinite loop data pipeline,0
fix infinite loop,debug,3,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,fix infinite loop,0
debug data pipeline,debug,3,,,,,,,,,,,,,,,,debug data pipeline,0
find bug,debug,2,,,,,,,,,,,,,,,,find bug,0
can you help me find the issue with my data pipeline thats causing an infinite loop,debug,16,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,help find issue data pipeline thats cause infinite loop,0
i think there is a bug in my spring pipeline causing an infinite loop,debug,14,,spring,infinite loop,,spring,infinite loop,,spring,infinite loop,,spring,infinite loop,,spring,infinite loop,think bug spring pipeline cause infinite loop,0
uh can you fix the infinite loop in my typescript code,debug,11,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,fix infinite loop typescript code,0
i need to find the problem with my django app thats running in an infinite loop,debug,16,,django,infinite loop,,django,infinite loop,,django,infinite loop,,django,infinite loop,,django,infinite loop,need find problem django app thats run infinite loop,0
so my data pipeline is running in an infinite loop and i have no idea why,debug,16,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,data pipeline run infinite loop no idea why,0
i am trying to debug my java program but i cant find the bug causing the infinite loop,debug,18,java,,infinite loop,java,,infinite loop,java,,infinite loop,java,,infinite loop,java,,infinite loop,try debug java program cant find bug cause infinite loop,0
there is a bug in my data pipeline that is causing it to run forever and i need to find it,debug,21,,,,,,,,,,,,,,,,bug data pipeline cause run forever need find,0
um so every time i try to run my data pipeline it just runs in an infinite loop,debug,18,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,every time try run data pipeline run infinite loop,0
i have been trying to debug my typescript app for hours but i cant find the issue causing the infinite loop,debug,21,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,try debug typescript app hour cant find issue cause infinite loop,0
i am getting an infinite loop in my django app and i dont know how to fix it,debug,18,,django,infinite loop,,django,infinite loop,,django,infinite loop,,django,infinite loop,,django,infinite loop,get infinite loop django app dont know how fix,0
ok so like i am trying to debug this thing and it just wont stop running in a loop you know,debug,21,,,,,,,,,,,,,,,,ok try debug thing wont stop run loop,0
i dont know whats going on but like my data pipeline is just running and running and running in a loop forever,debug,22,,,,,,,,,,,,,,,,dont know whats go data pipeline run run run loop forever,0
trace the runtime exception in the order handler,debug,8,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,trace runtime exception order handler,0
debug the order handler runtime exception,debug,6,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,debug order handler runtime exception,0
fix order handler timeout,debug,4,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,fix order handler timeout,0
check for memory leak,debug,4,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,check memory leak,0
can you help me trace the runtime exception in the order handler,debug,12,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,help trace runtime exception order handler,0
i need to debug the order handler its throwing a runtime exception,debug,12,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,need debug order handler throw runtime exception,0
uh can you fix the runtime exception in the order handler service,debug,12,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,fix runtime exception order handler service,0
i am getting a runtime exception in the order handler java class,debug,12,java,,runtime exception,java,,runtime exception,java,,runtime exception,java,,runtime exception,java,,runtime exception,get runtime exception order handler java class,0
so the order handler is throwing a runtime exception and i dont know why,debug,14,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,order handler throw runtime exception dont know why,0
um so every time i try to process an order the handler throws a runtime exception and i have no clue why,debug,22,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,every time try process order handler throw runtime exception no clue why,0
ok so the order handler is throwing a timeout exception and i think its related to a memory leak,debug,19,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,ok order handler throw timeout exception think relate memory leak,0
i think there is a memory leak in the order handler that is causing a runtime exception,debug,17,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,think memory leak order handler cause runtime exception,0
so i was trying to debug the order handler and i found a runtime exception in the java code,debug,19,java,,runtime exception,java,,runtime exception,java,,runtime exception,java,,runtime exception,java,,runtime exception,try debug order handler find runtime exception java code,0
i dont know whats going on but the order handler is throwing all these runtime exceptions and timeouts,debug,18,,,,,,,,,,,,,,,,dont know whats go order handler throw runtime exception timeouts,0
ok so like i was trying to process an order and the handler just throws a runtime exception and i am like what is going on with the memory leak and stuff,debug,32,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,,,runtime exception,ok try process order handler throw runtime exception what go memory leak stuff,0
resolve the type error in user profile component,debug,8,,,type error,,,type error,,,type error,,,type error,,,type error,resolve type error user profile component,0
fix type error,debug,3,,,type error,,,type error,,,type error,,,type error,,,type error,fix type error,0
debug user profile,debug,3,,,,,,,,,,,,,,,,debug user profile,0
resolve error,debug,2,,,,,,,,,,,,,,,,resolve error,0
can you help me fix the type error in my user profile component,debug,13,,,type error,,,type error,,,type error,,,type error,,,type error,help fix type error user profile component,0
i need to resolve this type error in the user profile,debug,11,,,type error,,,type error,,,type error,,,type error,,,type error,need resolve type error user profile,0
there is a type error in the user profile i dont know how to fix,debug,15,,,type error,,,type error,,,type error,,,type error,,,type error,type error user profile dont know how fix,0
i am getting a type error when i try to compile my user profile component,debug,15,,,type error,,,type error,,,type error,,,type error,,,type error,get type error when try compile user profile component,0
i have a type error in my user profile and i dont know why,debug,14,,,type error,,,type error,,,type error,,,type error,,,type error,type error user profile dont know why,0
so i am trying to use spring to resolve this type error but its not working,debug,16,,spring,type error,,spring,type error,,spring,type error,,spring,type error,,spring,type error,try use spring resolve type error not work,0
um so every time i try to run my user profile it throws a type error and i have no idea why,debug,22,,,type error,,,type error,,,type error,,,type error,,,type error,every time try run user profile throw type error no idea why,0
i think there might be a memory leak or something causing this type error in my user profile,debug,18,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak,think might memory leak something cause type error user profile,0
i am trying to debug this type error in my user profile but its really frustrating,debug,16,,,type error,,,type error,,,type error,,,type error,,,type error,try debug type error user profile really frustrating,0
ok so like i am using pandas and docker and i get this type error when i try to run my user profile,debug,23,,,type error,,,type error,,,type error,,,type error,,,type error,ok use panda docker get type error when try run user profile,0
i dont know whats going on but like i am trying to fix this type error in my user profile and its just not working you know,debug,27,,,type error,,,type error,,,type error,,,type error,,,type error,dont know whats go try fix type error user profile not work,0
the database connection keeps timing out fix it,debug,8,,,,,,,,,,,,,,,,database connection keep time fix,0
fix the database connection,debug,4,,,,,,,,,,,,,,,,fix database connection,0
django database connection is timing out,debug,6,,django,,,django,,,django,,,django,,,django,,django database connection timing,0
fix the timeout issue,debug,4,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,fix timeout issue,0
i get a 404 when the database connection times out,debug,10,,,404,,,404,,,404,,,404,,,404,get 404 when database connection time,0
the database connection in my django app keeps timing out,debug,10,,django,,,django,,,django,,,django,,,django,,database connection django app keep time,0
i need to fix this infinite loop causing a 500 error,debug,11,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,need fix infinite loop cause 500 error,0
django app is throwing a 500 error due to database timeout,debug,11,,django,500,,django,500,,django,500,,django,500,,django,500,django app throw 500 error due database timeout,0
debug the database connection it keeps dropping,debug,7,,,,,,,,,,,,,,,,debug database connection keep drop,0
i am getting a timeout error when trying to connect to the database,debug,13,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,get timeout error when try connect database,0
the database connection is timing out and causing an infinite loop,debug,11,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,database connection time cause infinite loop,0
um so the database connection is timing out and i dont know why it keeps happening over and over,debug,19,,,,,,,,,,,,,,,,database connection time dont know why keep happen,0
ok so the django database connection is timing out and its causing a 500 error and i have no idea how to fix it,debug,24,,django,500,,django,500,,django,500,,django,500,,django,500,ok django database connection time cause 500 error no idea how fix,0
i am trying to debug this issue where the database connection keeps timing out and its really frustrating because it just keeps happening,debug,23,,,,,,,,,,,,,,,,try debug issue where database connection keep time really frustrating keep happen,0
so like i am trying to fix this database connection issue and it just wont work and i am getting a 404 error and its just really annoying,debug,28,,,404,,,404,,,404,,,404,,,404,try fix database connection issue wont work get 404 error really annoy,0
the mobile app crashes on android when uploading an image,debug,10,,,,,,,,,,,,,,,,mobile app crash android when uploading image,0
android app crashes uploading image,debug,5,,,,,,,,,,,,,,,,android app crash uploading image,0
image upload crashes android,debug,4,,,,,,,,,,,,,,,,image upload crash android,0
fix android upload crash,debug,4,,,,,,,,,,,,,,,,fix android upload crash,0
i think the issue is with the image upload on android,debug,11,,,,,,,,,,,,,,,,think issue image upload android,0
so the android app is crashing when i try to upload an image,debug,13,,,,,,,,,,,,,,,,android app crashing when try upload image,0
uh can you help me with the android app crashing when uploading images,debug,13,,,,,,,,,,,,,,,,help android app crash when uploading image,0
i am getting a crash on android when trying to upload images to the server using express,debug,17,,express,,,express,,,express,,,express,,,express,,get crash android when try upload image server use express,0
so every time i try to upload an image on android it crashes and i have no idea why,debug,19,,,,,,,,,,,,,,,,every time try upload image android crash no idea why,0
um so the android app is crashing every time i try to upload a picture and i am using java,debug,20,java,,,java,,,java,,,java,,,java,,,android app crash every time try upload picture use java,0
i need help debugging the android app crash when uploading images using pandas to process them,debug,16,,,,,,,,,,,,,,,,need help debug android app crash when uploading image use pandas process,0
okay so the android app is crashing when i upload an image and i think it might be a problem with the express backend,debug,24,,express,,,express,,,express,,,express,,,express,,android app crash when upload image think might problem express backend,0
debugging the android app and its crashing every time i try to upload a photo,debug,15,,,,,,,,,,,,,,,,debug android app crash every time try upload photo,0
so i am trying to upload an image on android and the app just crashes and i dont know what to do,debug,22,,,,,,,,,,,,,,,,try upload image android app crash dont know what,0
i am using android and every time i try to upload an image the whole app just freezes and then crashes,debug,21,,,,,,,,,,,,,,,,use android every time try upload image whole app freeze crash,0
my docker container exits with code 137 every few hours,debug,10,,,137,,,137,,,137,,,,,,,docker container exit code 137 every hour,0
docker exits with code 137,debug,5,,,137,,,137,,,137,,,,,,,docker exit code 137,0
container keeps exiting,debug,3,,,,,,,,,,,,,,,,container keep exit,0
fix exiting container,debug,3,,,,,,,,,,,,,,,,fix exit container,0
i have a docker container that exits every few hours with code 137,debug,13,,,137,,,137,,,137,,,,,,,docker container exit every hour code 137,0
my docker container is exiting with a 137 code what do i do,debug,13,,,137,,,137,,,137,,,,,,,docker container exit 137 code what,0
uh my express server in a docker container exits every few hours,debug,12,,express,,,express,,,express,,,express,,,express,,express server docker container exit every hour,0
docker container exits with 137 and i dont know why,debug,10,,,137,,,137,,,137,,,,,,,docker container exit 137 dont know why,0
i cant figure out why my docker container is exiting with code 137 every few hours,debug,16,,,137,,,137,,,137,,,,,,,cant figure why docker container exit code 137 every hour,0
ive got a docker container running an express server that exits with code 137 every few hours,debug,17,,express,137,,express,137,,express,137,,express,,,express,,ive get docker container run express server exit code 137 every hour,0
so my docker container is exiting with code 137 and im not sure how to debug it,debug,17,,,137,,,137,,,137,,,,,,,docker container exit code 137 im not sure how debug,0
im getting a nullpointerexception in my kotlin app and my docker container exits with code 137,debug,16,kotlin,,nullpointerexception,kotlin,,nullpointerexception,kotlin,,nullpointerexception,kotlin,,nullpointerexception,kotlin,,nullpointerexception,im get nullpointerexception kotlin app docker container exit code 137,0
um so my docker container is exiting every few hours with code 137 and i have no idea why,debug,19,,,137,,,137,,,137,,,,,,,docker container exit every hour code 137 no idea why,0
okay so im trying to debug this issue with my docker container exiting with code 137 every few hours but like whats going on,debug,24,,,137,,,137,,,137,,,,,,,im try debug issue docker container exit code 137 every hour whats go,0
right so im running this docker container with an express server and its exiting with code 137 every few hours and im just like what do i even do,debug,29,,express,137,,express,137,,express,137,,express,,,express,,right im run docker container express server exit code 137 every hour im what even,0
the kafka consumer is lagging behind by a million messages,debug,10,,,,,,,,,,,,,,,,kafka consumer lag behind million message,0
kafka consumer is so laggy,debug,5,,,,,,,,,,,,,,,,kafka consumer laggy,0
fix kafka consumer lag,debug,4,,,,,,,,,,,,,,,,fix kafka consumer lag,0
consumer lag is huge,debug,4,,,,,,,,,,,,,,,,consumer lag huge,0
i think the kafka consumer is lagging behind by a lot of messages,debug,13,,,,,,,,,,,,,,,,think kafka consumer lag behind lot message,0
uh my kafka consumer is super behind,debug,7,,,,,,,,,,,,,,,,kafka consumer super behind,0
so my kafka consumer is lagging and i have no idea why,debug,12,,,,,,,,,,,,,,,,kafka consumer lag no idea why,0
i get a nullpointer when i try to consume from kafka,debug,11,,,nullpointer,,,nullpointer,,,nullpointer,,,nullpointer,,,nullpointer,get nullpointer when try consume kafka,0
kafka consumer is really slow and throwing nullpointer exceptions in my spring app,debug,13,,spring,nullpointer,,spring,nullpointer,,spring,nullpointer,,spring,nullpointer,,spring,nullpointer,kafka consumer really slow throw nullpointer exception spring app,0
i have a go program that consumes from kafka and its really laggy,debug,13,go,,,go,,,go,,,go,,,go,,,go program consumes kafka really laggy,0
every time i try to consume from kafka i get a nullpointer and its driving me crazy,debug,17,,,nullpointer,,,nullpointer,,,nullpointer,,,nullpointer,,,nullpointer,every time try consume kafka get nullpointer drive crazy,0
i am trying to debug my kafka consumer but its so slow and keeps throwing nullpointers,debug,16,,,,,,,,,,,,,,,,try debug kafka consumer slow keep throw nullpointers,0
i think my kafka consumer is lagging because of a nullpointer in my typescript code,debug,15,typescript,,nullpointer,typescript,,nullpointer,typescript,,nullpointer,typescript,,nullpointer,typescript,,nullpointer,think kafka consumer lag nullpointer typescript code,0
um so i was trying to consume from kafka but it was so slow and then i got a nullpointer and now im totally stuck,debug,25,,,nullpointer,,,nullpointer,,,nullpointer,,,nullpointer,,,nullpointer,try consume kafka slow get nullpointer im totally stuck,0
ok so like my kafka consumer is super slow and im getting all these nullpointers and im trying to figure out why but its just not working,debug,27,,,,,,,,,,,,,,,,ok kafka consumer super slow im get nullpointers im try figure why not work,0
pandas is throwing a key error when i merge these two dataframes,debug,12,,,key error,,,key error,,,key error,,,,,,,panda throw key error when merge two dataframes,0
pandas key error on merge,debug,5,,,key error,,,key error,,,key error,,,,,,,panda key error merge,0
key error when merging dataframes,debug,5,,,key error,,,key error,,,key error,,,,,,,key error when merging dataframes,0
merge dataframes key error,debug,4,,,key error,,,key error,,,key error,,,,,,,merge dataframes key error,0
getting key error when i merge these pandas dataframes,debug,9,,,key error,,,key error,,,key error,,,,,,,get key error when merge panda dataframes,0
i get a key error when i try to merge two dataframes with pandas,debug,14,,,key error,,,key error,,,key error,,,,,,,get key error when try merge two dataframes pandas,0
pandas merge is throwing a key error for me,debug,9,,,key error,,,key error,,,key error,,,,,,,panda merge throw key error,0
im getting a type error when i try to merge these dataframes in pandas,debug,14,,,type error,,,type error,,,type error,,,type error,,,type error,im get type error when try merge dataframes pandas,0
have a key error when merging two dataframes in pandas and dont know why,debug,14,,,key error,,,key error,,,key error,,,,,,,key error when merge two dataframes pandas dont know why,0
trying to merge two dataframes but pandas keeps throwing a key error,debug,12,,,key error,,,key error,,,key error,,,,,,,try merge two dataframes pandas keep throw key error,0
i am getting a key error when i merge these two pandas dataframes together,debug,14,,,key error,,,key error,,,key error,,,,,,,get key error when merge two panda dataframes together,0
so i have these two dataframes and when i try to merge them pandas throws a key error,debug,18,,,key error,,,key error,,,key error,,,,,,,two dataframes when try merge pandas throw key error,0
um so every time i try to merge these two dataframes in pandas i get a key error,debug,18,,,key error,,,key error,,,key error,,,,,,,every time try merge two dataframes pandas get key error,0
okay so like i am trying to merge these two dataframes right and pandas is throwing this key error thing,debug,20,,,key error,,,key error,,,key error,,,,,,,try merge two dataframes right pandas throw key error thing,0
i dont know whats going on but like when i try to merge these dataframes in pandas it throws a key error and i have no idea why,debug,28,,,key error,,,key error,,,key error,,,,,,,dont know whats go when try merge dataframes pandas throw key error no idea why,0
write a python function to parse json from an api response,generate,11,python,,,python,,,python,,,python,,,python,,,write python function parse json api response,1
create json parser,generate,3,,,,,,,,,,,,,,,,create json parser,1
parse json from api,generate,4,,,,,,,,,,,,,,,,parse json api,1
write json function,generate,3,,,,,,,,,,,,,,,,write json function,1
can you help me parse json from an api response in python,generate,12,python,,,python,,,python,,,python,,,python,,,help parse json api response python,1
i need a function to parse json data from an api,generate,11,,,,,,,,,,,,,,,,need function parse json data api,1
how do i parse json in python for an api response,generate,11,python,,,python,,,python,,,python,,,python,,,how parse json python api response,1
generate a python function to parse json,generate,7,python,,,python,,,python,,,python,,,python,,,generate python function parse json,1
so i have this api response and i need to parse the json,generate,13,,,,,,,,,,,,,,,,api response need parse json,1
i want to write a python function to parse json from an api using aws,generate,15,python,,,python,,,python,,,python,,,python,,,want write python function parse json api use aws,1
can you write a python function to parse json data from an api response using typescript as reference,generate,18,python,,,python,,,python,,,python,,,python,,,write python function parse json data api response use typescript reference,1
i am trying to parse json from an api response in python but its not working with my sql database,generate,20,python,,,python,,,python,,,python,,,python,,,try parse json api response python not work sql database,1
so basically i want to parse json from an api and store it in a sql database using python,generate,19,python,,,python,,,python,,,python,,,python,,,want parse json api store sql database use python,1
um so i have this api response and its in json and i need to parse it in python but i dont know where to start,generate,26,python,,,python,,,python,,,python,,,python,,,api response json need parse python dont know where start,1
okay so i am trying to parse json from an api response and use it in my flutter app but its not working,generate,23,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,try parse json api response use flutter app not work,1
create a rest endpoint for user registration in express,generate,9,,express,,,express,,,express,,,express,,,express,,create rest endpoint user registration express,1
create rest endpoint for users,generate,5,,,,,,,,,,,,,,,,create rest endpoint user,1
make a registration endpoint with express,generate,6,,express,,,express,,,express,,,express,,,express,,make registration endpoint express,1
build registration api,generate,3,,,,,,,,,,,,,,,,build registration api,1
can you create a rest endpoint for user registration in express js,generate,12,,express,,,express,,,express,,,express,,,express,,create rest endpoint user registration express j,1
i need to generate a rest endpoint for registering users using express,generate,12,,express,,,express,,,express,,,express,,,express,,need generate rest endpoint register user use express,1
create a new endpoint for user registration using express and java,generate,11,java,express,,java,express,,java,express,,java,express,,java,express,,create new endpoint user registration use express java,1
how to create a rest endpoint for user registration in express with rust,generate,13,rust,express,,rust,express,,rust,express,,rust,express,,rust,express,,how create rest endpoint user registration express rust,1
i want to build a registration endpoint with express and spring,generate,11,,express,,,express,,,express,,,express,,,express,,want build registration endpoint express spring,1
um create a rest endpoint for user registration with express,generate,10,,express,,,express,,,express,,,express,,,express,,create rest endpoint user registration express,1
so i need to make a rest endpoint for user registration in express with java and flutter,generate,17,java,express,,java,express,,java,express,,java,express,,java,express,,need make rest endpoint user registration express java flutter,1
i am trying to create a registration endpoint using express but i dont know how,generate,15,,express,,,express,,,express,,,express,,,express,,try create registration endpoint use express dont know how,1
i need help creating a rest endpoint for user registration in express with spring and rust and it should be secure,generate,21,rust,express,,rust,express,,rust,express,,rust,express,,rust,express,,need help create rest endpoint user registration express spring rust secure,1
okay so like i want to create a rest endpoint for user registration but i dont know where to start with express and all that,generate,25,,express,,,express,,,express,,,express,,,express,,want create rest endpoint user registration dont know where start express,1
so basically i am trying to figure out how to create a rest endpoint for user registration in express but its not working and i have no idea why,generate,29,,express,,,express,,,express,,,express,,,express,,try figure how create rest endpoint user registration express not work no idea why,1
generate a sql query to find top ten customers by revenue,generate,11,,,,,,,,,,,,,,,,generate sql query find top ten customer revenue,1
generate sql query,generate,3,,,,,,,,,,,,,,,,generate sql query,1
